Date ,Rate ,Topic ,Review ,Type 
2019/09,5,Wow! Must See!,"I was blown away by the RISD. Great contemporary art from the Classics -Picasso, Rodin sculptor, Chihuly (alum) to the wonderful and insightful student art work. So much to see!",Friends
2019/09,4,Excellent collection,"An excellent collection well worth the visit. Spread out on six floors, starting on the third floor in a staggered way... the docents were very helpful in finding your way. The museum is seemingly constructed in different buildings and as you move through the space, it's a bit of a wayfinding 3D puzzle. Maps were very helpful. And the collections, especially in the impressionism was, very impressive. The special exhibit of Gorham Silver was very nicely curated -- thank you.",
2019/09,4,Interesting collection,The museum is a sprawling collection of interconnected buildings including the reproduction of the Pendleton House. The Gorham silver exhibit was especially interesting.,couple
2019/09,5,Very Fine and diverse collection,"We came to see the Gotham Silver show , which was great, and stayed for the great furniture, paintings, decorative art and fashion. Definitely worth the trip. ",couple
2019/09,5,Not to be missed in Providence,"This museum is a small gem associated with the Rhode ISLAND SCHOOL OF DESIGN and located near Brown University. It has an excellent eclectic collection of fine arts, glassware, pottery, clothing, impressionist paintings and modern arts, textiles, graphic arts, etc. Exhibits are well presented with good lighting and visible explanations. Special exhibits are offered regularly. There is a gift shop and a small cafe. The current Gorham silver exhibition is of special interest in Rhode Island as the company was founded here. Part of the exhibit is a workbench with videos showing the evolution,design and production of selected silver items. Guards are friendly and helpful. The museum is free to the public on Sundays, otherwise there is a $15.00 admission fee with student , child and senior discounts. Do not miss!",
2019/09,5,THE HEART OF PROVIDENCE,"Back in the 90s, I worked as a security officer for RISD,, it made fell like I was going to college, because Brown University is right next to it,, Providence, Superior Court system is there, down town Providence is a walk a way , RISD is located int he historical side of Providece,,therr's a lot of history, plenty places to eat an drink, many hotels like the Hyatt, The Biltmore and others PPAC providence performance art center is a place to visit. and many other acttractions. I live a 1/4 of a mile from RISD",
2019/08,5,A Very Comprehensive collection,"I was pleasantly surprised by the breadth and scope of the museum collection. The current Gorham silver collection was the highlight of my recent visit. The museum houses a broad range of collections, from European to Asian to ancient works. A great experience overall!",
2019/07,5,Fascinating Collection: A Must See When in Providence,The Gorham exhibit currently on display at the RISD Museum is superb. Beautifully presented and described. The ecclectic collection is great fun to see and the rabbit-warren design adds to the delightful elements of this seemingly small but encompassing Museum.,
2018/12,5,Very interesting,"For the art lover and general public, very educative exhibit. Worthwhile the visit. Easy walk from the train station in downtown Providenc",
2019/07,5,Worth a trip,"This is an amazing small museum. The works include some of the most famous artists. All of the works are first rate. It has paintings, sculpture and decorative arts from ancient mediterranean to modern. It's worth going out of your way to go to Providence to see the museum. We stayed in a nearby hotel so we could walk over, see the museum, go to a late lunch and then retire to our hotel",
2019/07,5,Lots of interesting art,"Lots of variety of forms of art, so it appeals to everybody. The price was reasonable and it was fun to wander thru varied exhibits. Nice place to spend a hot day.", couple
2019/07,5,A Hidden Gem with an Outstanding Collection of Various Types of Art,"My husband and I visited the RISD Museum in Providence, Rhode Island on Sunday, July 14, 2019. This is an excellent museum with all galleries well laid-out and nicely curated with an outstanding collection of various types of art. All the write-ups throughout the museum were quite educational and interesting addressing cultural, historical, political, social and religious aspects of the art, depending upon what was applicable. The special exhibit on Gorham Silver was exquisite and definitely worth seeing. This museum is definitely a hidden gem!! Our visit to the museum took about two hours, based on the amount of time available to us, but it could easily have taken well over 3 hours to be able to absorb and appreciate all the artwork on display. We definitely needed a map to get around the museum because of the way all the galleries are connected throughout multiple floors and buildings. The only real drawback to this museum is parking. Fortunately, we were able to find a space on Benefit Street, a convenient walk to the museum. However, finding a space may not have been easy if school was in session. We really liked the 18th and 19th Century American exhibits, especially related to the Pendleton House rooms. These included the rooms with the titles: ‘The China Trade Room’, ‘The Well-Furnished Farmhouse in Providence’, ‘Two Generations of Rhode Island Cabinetmakers’, ‘Cabinetmaking in Newport’, ‘Gambling Collectors - Tea Pots’, and ‘The Charles Pendleton’s Library’. All the furnishings in these rooms were very impressive. Even the curtains were beautiful. Touring these rooms was like a walk back through time. The Ancient Greek and Roman exhibits were nicely arranged with many objects, such as, bronze, metals, Roman Jewelry and coffins, coins, sculptures, Greek Funerary, figures from different cultures and vases, vessels and flasks for the Greek Gods and Goddesses and much more. All the objects displayed in these galleries were well preserved. The European Art featured very impressive paintings by many masters under multiple classifications such as ‘Painting Modern Life’ with Impressionists using new techniques in their brushstrokes, ‘Painting Landscapes’ with a heightened regard for nature and ‘Abstracting Modern Life’. All these paintings were beautiful. There was Religious Art from the 1300s with emphasis on Material and Meaning. Also in the 1300s there was an ‘Unearthing of the Past’ where the ancient pasts of Greece and Rome were rediscovered by European artists and there was a cultural, movement called Humanism during the Renaissance era, encouraging curiosity about nature, the world and individual expression, which was very interesting. In addition, the artwork within this gallery addressed ‘Trade Across Cultures’, ‘Venice and the Marketplace’, and ‘Imperialism and Production (1686 – 1851)’ where there was an exchange of techniques and materials. There was also a section/gallery on the different aspects of the ‘Artist’s Profession’ as it related to European art in the early 1800s. The Art of Ancient Egypt – from 5,000 years ago emphasized the funerary traditions with a rather impressive mummy on display. The art was for a functional or ritual purpose and words and pictures were combined to convey a unique meaning as depicted in the ‘Understanding of Egyptian Objects’ display, which addressed the interesting principle of mixed perspective among other aspects of this art. The Asian Art included very nice Japanese emerald and clay, devotional and funerary objects, including Budha and a gallery representing insects with ‘A chorus of Chirps, Hums and Buzz’. The Costume and Textile and Quilt Galleries were impressive as well as the Modern and Contemporary art, including very elegant and unique clothing and furniture.The Print Making – Visions and Revisions was quite educational with displays regarding ‘Aquatint and Goya’, ‘Etching and Rembrandt’, and Mezzotint Engraving. The write-ups for these displays addressed the processes involved with these techniques in art and were definitely quite educational. Special Exhibit: ‘’Gorham Silver – Designing Brilliance 1850 – 1970’: This exhibit addressed the many aspects of Gorham Silver and illuminates the heights of Gorham’s industry, ambition, artistry, technology, creativity and innovation. The history of the founding of Gorham was addressed with its beginnings in a small workshop to its significant growth as depicted in the display ‘Gorham Silver and American Industrialization’. Through machinery and equipment, the company had sufficient size and power to handle silver as though it was putty. with something for everything. The Classical Design and Source Materials were addressed as well as the Gorham Workbench which displayed the processes and tools used to create Gorham silver. ‘Design Inspirations and Influences’ were depicted with the ‘Restless Laboratory’ where the silver went from a Classical to Japanese Design with the American Aesthetic Movement and the desire to fulfill social aspirations. ‘Creating Gorham Silver’ illustrated the most perfect system with an effective network of organizational practices and a well-managed inventive approach. The ‘World of Styles in Providence’ were also on display. This was a very impressive and well done exhibit with many pieces of exquisite silver on display within it, definitely worth seeing. We recommend a visit to this museum and hope that you have the opportunity to enjoy it as much as we did. It has a real lot to offer, much more than what I mention here!!.",
2019/07,3,Gorham silver exhibit,Interesting history and craftsman detail of Gorham silver. Display was nice but not overly impressive. If you have visited stately homes ( Europe ) you may find it lacking. $15.00 for 2 rooms?,
2019/05,5,A Little Gem!,"RISD is a little gem of a museum. Holding a general collection, in less than an hour you can get a very satisfying aesthetic experience. And in two hours you can get an excellent, quick survey of art history. What makes a visit so perfect is the careful curation, thoughtful installations and intelligent labels. I chose to spend time in the special exhibition of Gorham silver and the Contemporary and European of 18/19th century floors. For me, the silver was a revelation. I had no idea Gorham made such pieces of upscale elegance and ambition. Founded in Providence, Gorham became the largest silver company in the world. And RISD has fabulous holdings. The high-end pieces showcased in this exhibition would have made any Newport dinner party guest envious. Elsewhere I found an excellent example of making a meaningful teaching point with limited objects in a display case of medieval/early renaissance art that combined carved ivory, portraits and illuminated manuscripts. But if I could only go back to see one piece--the one I would run out with in case of fire—it would be Manet’s portrait of the American artist Berthe Morisot titled “Repose.” It’s what the Michelin guide would call “worth a journey.” Visiting tips: The museum is housed on several levels of two buildings, which can be a little confusing for a first visit. So be sure to get a map and don’t hesitate to ask the staff for directions. The collections are open until 9:00 pm on third Thursdays. Tickets are $12 for seniors, $15 for adults. The gift shop is worth a glance and the garden well worth a stopping point.",Solo
2019/07,5,Delightful,Had a wonderful time here. A great variety of works. The Gorham silver-smithing exhibit was a great surprise. Very much enjoyed the impressionist rooms with Monets and Cezannes.,couple
2019/07,4,RSDI,"Fantastic! Nice ""sampler"" of art from the ancients to modern, with a design oriented twist. Rodin's hand of god was my personal favorite",
2019/06,5,Gorham Silver Display,Enjoyed the special showing and stories of Gorham Silver. Enjoyed seeing clothes by Coco Channel. Staff very helpful and kind.,Friends
2019/06,5,A wonderful collection,"If you are in Providence this is a must see. IT is an eclectic collection but worth the trip, works of are are well explained and staff great.",Solo
2019/06,5,Wow!,"If art is your thing, this place is amazing. There is a lot of Egyptian, Asian, and European art. It is spectacular. We spent several hours here and still didn’t see everything.",
2019/05,5,"Small on size, big on offerings: RISD!","Adult family spent a day in Providence, including a visit to the ""M-word"" (museum). We arrived after a late lunch and were literally the last ones to leave, such was our penchant for loitering amongst beautiful, historical items fabricated for love and money. We loved it!",Friends
2019/06,4,Nice little museum,"Although a museum of design, it covers quite a range within that remit. When I was there, they had a special silver exhibition which included some interesting pieces, especially a rather witty ice bowl and a cubist tea set. The main collection features some major artists such as Rodin, Picasso, Pollock, Monet, Van Gogh and Renoir. There are also works by less well known artists and lots of pieces from ancient times.",Solo
2019/05,4,"Not What I Expected, but Very Nice","As an artist myself, I've heard *so much* about RISD and its museum. I was expecting to see more contemporary, abstract paintings, but that's not really what you'll find here. Instead we saw a huge, super cool Buddha - loved it. We also enjoyed the Gorham exhibition (well, I did, not sure about my husband). My favorite part was probably the floor with the Van Goghs. Normally you have to fight and push your way to get up close with a VVG, but we had the space all to ourselves - quite nice :) It's a small museum with a little bit of everything. You can easily cover it in 1-2 hours.",
2019/05,4,"Not What I Expected, but Very Nice","From Egyptian mummies to paintings and sculptures by Old Masters to American furniture to a top silver collection to textiles, this museum has something for every interest and is worth visiting. Small in size compared to the large museums, the RISD Museum is sophisticated and offers enough for multiple visits.",Friends
2019/06,4,If you have time visit!,"The museum was great and the exhibits were a very good cross section of art and other displays. It was very well organized and the stuff were very helpful as they enforce the security of the museum. The good news, there was no charge to the museum on that Sunday afternoon.",Friends
2019/05,4,Gorham exhibition is a must,"After a private lecture on the exhibit we spent about an hour marveling at the craftsmanship of the silver on exhibit and the history of the brand. The museum is clean, well lit, very accessible and a must visit.",couple
2019/06,5,Wonderful contemporary design displays,"The RISD museum contains a carefully curated wide-ranging display of historic and contemporary arts and design exhibits. I particularly enjoyed the contemporary displays by predominantly local artists and RISD graduates. The European, Asian and Egyptian displays are small but well done. The historical American parlour displays are well worth seeing too, arranged as they are to reproduce historical dwelling interiors.",Solo
2019/05,5,Great experience,"Must see collections, which include great European impressionists, Picasso, Van Gohg. Free admission on Sundays.",
2019/05,5,Memorial Weekend Optional,about RISD Museum and the visit lived up to every expectation. Both interesting and entertaining- my husband loved it and so did my 17 year old son. A great family outing! Highly recommended.,Family
2019/05,5,A real Gem,"We've been to museums all over the world. This one has a little of everything that can work with your pace. The building is well designed and the staff (including security guards) are extremely courteous, kind and knowledgeable. We were lucky to be here on the first Sunday of the month so we got in for free. We checked out the entire museum in 2.5 hours. The RISD M of Art is located conveniently in downtown area, and you can access it by walking if you are staying in the area. The students are so lucky to have this collection of works to be learn and develop their understanding of art related works and also of cultures. I wish I had this when I attended college. Hope you enjoy it as well.",Couple 
2019/05,5,Don’t miss,RISD Museum is worthy of a visit. Very nice exhibits on several floors. Interesting gift shop. Thursday evenings are free!,couple
2019/05,4,Nice ... very small. Budget an hour.,The museum is very fun and very small. We had no idea what the exhibit was - turned out to be Gorham silver - 1850-1970. It was interesting. We enjoyed a lot of the interactive student work on the second floor. This was a perfect for us to spend an hour while waiting for our car to charge. Don’t forget to exit through the gift shop.,
2019/05,5,Go! Go! Go!,"Pick an artist of note, and RISD will have them. Pick a period or a type of medium, it's here. Great masters, modern art, marble frome rome, textiles, weapons, tea pots, a whole revolutionary period house, 20 foot tall wooden buda, mummy....getting the picture?
Cafe, gift shop, on street free parking, fully handicap accessible, it will take a minimum of an hour if you fly through, 2ish is normally how long it takes.",Family 
2019/05,5,Gorham exhibit,When my wife said she’d like to see the exhibit on Gorham silver I was a little dubious. But it was really interesting to see the fantastic work done by this RI institution. Little hard to get to given the building renovation but worth the effort,couple
2019/05,5,Amazing collection,"Absolute treasure of a museum with fabulous examples of Barbizon landscapes, Impressionism, and decorative arts and design. The current exhibition on Gorham silver is an absolute must see.",business
2019/04,5,World class museum,I visited on a Sunday afternoon (free admission) and was impressed with their diverse collection of art from ancient Egyptian artefacts to contemporary works of art from all over the globe. I ran out of time to see as much (as thoroughly) as I would have liked. Thanks would definitely go back; it’s such an incredible resource for a fairly small city but a true jewel !,Solo
2019/03,5,Amazing quality of art for size of museum,"We were lucky enough to arrive in Providence on the third Thursday evening of the month...when the RSID museum is free. So, without a concrete plan for the evening, we decided to puruse the museum before we went to dinner. Wow! What a wonderful museum. The museum is packed with treasures ranging from Byzantine art to Impressionists to British print works. We were only drawn away by the rumbling of our stomachs. The museum is very well curated and well worth a visit...especially if you are lucky enough to be there for a free Thursday night.",Family
2019/01,5,"Beautiful museum, they even have a mummy.",This is a treasure of a museum. You can find pretty much every style of artform within. The staff is Friends and you can easily take it all in within a couple of hours. You will leave feeling quite cultured and full of joy from all the beauty you've taken in.,Friends
2019/03,5,Surprisingly Great,"To be honest I went in with low expectations since we have some of the best art museums in the world in NYC. However, I was pleasantly surprised with the size of the museum and the collection. My students and I enjoyed the ancient artifacts. The number of world renowned painters they had on display was amazing. We didn’t know there was an old house attached which was fantastic. The student stuff we barely looked at. They even had a wheelchair for one of my students free of charge. We needed about 1.5 hours to see it all. I would definitely go back.",Business
2019/03,5,Ancient Greek and Roman Room is my Happy Place,My partner and I decided to take a few days to stay in Rhode Island. One of the things we wanted to make sure we caught was this museum. The Bona Drag temporary exhibit and the Greek and Roman room were on the top of my list and they didn't disappoint. I would recommend this to anyone,couple
2019/03,5,Pleasant afternoon,"Easy access, pleasant atmosphere, many students also in the gallery which added to the joy of visiting the museum.",
2019/03,4,most enjoyable,"Following a delightful Saturday lunch nearby, our daughter, her husband (both RISD alums) and their two children, ages 6 and 9mos. toured the museum for a couple of hours. Our grandson was hoping for some dinosaur fossils but was not unhappy about there being none, and enjoyed viewing the statuary and many works of art. We were somewhat disappointed that the contemporary art gallery floor was being renovated and not available for visiting, but not unhappy about all that we were able to view and appreciate. All in all, it was most enjoyable for all.",Family
2019/03,4,"A bit light on design, but a much broader collection than expected","We were expecting a museum focused on design, but saw that in fact, the design displays in this museum are only a small fraction of the collection. There is an antique home that has been incorporated into the museum, and there are Asian, Greek and Egyptian components, among others. The collection was much larger and more diverse than we expected!",couple
2019/03,4,More than we expected,Our visit was totally worthwhile. The museum and collection were much bigger than we expected. Very nice. Definitely glad we took the time to do this.,couple
2019/02,4,Much better than anticipated,"I knew I wanted to tour the RISD Museum but did not know much about it's collection. Extremely surprised by the Impressionists and some of the other unexpected pieces. I've seen Chihuly glass at the V&A in London and the MFA in Boston, and was thrilled to learn more about this artist (had no idea he taught at RISD!) Very glad we went. Tip: entrance is free on Sundays.",couple
2019/12,4,A large variety of experiences,"The museum has a wide variety of artifacts from ancient Egypt and the Mediterranean through current day. The modern art section, 20th century, is a focus of course, but the museum has large presence of Impressionists - very rewarding.",couple
2019/11,5,Something for everyone,"The RISD museum has something for everyone. Special visiting exhibits, classical, modern, European, Asian and more. I never tire of repeat visits. Check it out on Sundays for FREE! I brought my 8 year old niece this past summer and she was hooked. Left the museum and drove to buy art materials straight away...now that’s inspiration!",Solo
2019/02,5,Best Universty Art Museum I've Ever Seen,"The RISD Museum has a surprisingly large, varied, and high-quality collection -- everything from painting and sculpture to textiles and furniture, dating from 3000 BCE to yesterday. The exhibits are very professionally staged and curated, but the hodge-podge building makes it all feel charmingly cozy and quirky. It's a world-class museum at Rhode Island scale. I could live here for weeks, if they'd let me!",Friends
2019/02,5,Fascinating Building and Use of Space,"Museum covers most of a block between North Main and Benefit Streets, on the side of the hill. Exhibits integrated across diverse cultures, so that you can get a sense for comparison. Second floor has student exhibits, which were intriguing and definitely worth exploring.",Family
2019/02,5,Great diverse art to enjoy,"For first time art museum goers, RISD is perfect because it takes you from antiquity to contemporary art across the board.",Friends
2019/02,5,Impressive Collection!,This is a lovely museum with an impressive collection of all kinds of art. I loved the Impressionist paintings and the Asian art collection. A very worthwhile visit!,Friends
2019/02,5,Amazing collection of art,"This museum is a gem and should be a destination for any one interested in art. The collection is extensive and the well displayed. The museum is just large enough to provide an very nice visit for a morning or an afternoon. On the first floor there is a collection of student art which was fascinating. One of the things that makes this museum so interested is the amalgamation of several buildings on the hill side. They are very skillfully linked together to make a very interesting architectural unit. There is a small cafe, lockers available and some audio guide programs too. Parking can be a bit of an issue but we finally found a space not too far from the museum. Staff is very friendly and knowledge. A must see.",Family
2018/12,5,"Friends go here,also has a great museum","ranked one of the finest art/design schools in the world what can you say. Great instructors who are into the arts themselves in a big way. some world know in their own right. well maintained buildings in walking distance to downtown Providence,RI. it has the best of all worlds. near Brown University. Has some of its own stores and shops. Students from all over the world come here and you have to have a lot of talent to get into this school. a lot.
If you have talent in the arts,contact them and I am sure they will send you the info you need. Have a good friend who is an assistant to one of the school officers.",Family
2019/01,4,Nice collection,A nice sampling of art throughout different eras; the museum's collection has grown over time. Would appreciate seeing more in the way of design innovations.,couple
2019/01,5,Groovy Museum with Respectable Collection,"“My girlfriend and I have had this place on our list for a while. We went on a Sunday because it's FREE on Sundays which is great. My one complaint about that was there were lots of kids with their families - some sort of community arts function - so it was a bit on the loud and crowded side. But I'm all for community functions of that sort so it was a small price to pay for free admission.

The museum is more extensive than its appearance from outside would indicate. Each floor has a different focus - modern art, European painting from a number of different centuries (the Impressionist pieces may have been my favorite), and a whole floor of antiquities from Rome, Japan, Egypt, and other places around the world, including an impressive wooden Buddha sculpture (the largest in the West, if I remember correctly).

The museum can be done quickly in less than two hours, but for the most thorough experience I would recommend at least three, so you can read up on some of the different pieces. Even despite the crowds we found the museum to be charming and tasteful, certainly an impressive collection. I would recommend this spot to anyone appreciative of fine art in all its forms.”
",Couple 
2018/11,5,Excellent museum,This is an excellent museum. They have wonderful displays. A great place to learn new things and discover.,Family
2018/12,5,Fabulous!,I've been to a number of museums around the world....Wow! RISD has an amazing collection - and the student galleries were fantastic! Easy to make a day of this with great local restaurants in the neighborhood and walkable from the Providence train station.,
2018/02,5,Small gem of a museum,"The museum is just the right size to enjoy in one visit, with lots of artistic treasures. Well worth the visit.",
2018/12,5,Amazing Museum!,Museum that has impressive items around every turn from every era. This place is for everyone and place that is perfect for stirring up conversation with whoever you bring.,Solo
2018/12,5,Great Museum,"This is a great museum - and far too big to visit properly in one day. Fabulous modern European masters (think quality not quantity) - representing Cassatt, Monet, Pissaro, Van Gogh, Picasso and more. Good collection from the middle ages and an acbsolutely stupendous collection of colonial era furniture well displayed in a house (colonial repro) built for the purpose over 100 years ago.",couple
2018/11,5,Great tour of a lot of different periods and a great kids program,"We did a free (with admission) art hour program for kids with my 8 year old and it was awesome. It was interesting, informative, and engaging. Great way to introduce kids to art. The museum was also great. It has what I would almost call a sampling from many different periods/places. I'm not an art guy but I think it would be even more appealing for people like me- you get to see so many different kinds of impressive art in a brief period of time. It's compact but didn't feel small. It also felt very swank and an interesting location and place. Great excuse to get by the Brown/RISD neighborhood too and see that as well. Highly recommend for almost anyone.",Family
2018/08,5,Lovely small museum,"Sure, it's not as grand or enormous as the Met or Louvre but, nevertheless, absolutely worth visiting. The permanent collection is fine, and every special exhibit I've seen has been curated so thoughtfully and, sometimes, even provocatively. Sometimes visiting a small museum…",
2018/11,3,Need st least 3 hours here.,"The exhibit that was on was very liberal& contemporary, not my taste.
The other floors were interesting & historical.",
2018/07,5,Great museum,"RISD Museum is an eclectic yet expansive selection of art from colonial America through the current era. A half day would be useful to be able to see the whole collection but that would be at a very fast pace. The museum is spread across multiple buildings and multiple floors, each section clearly marked and noted. This is the number 1 attraction in Providence for a reason - it is that good. There is a small cafe located on the ground floor of one of the buildings and plenty of restrooms throughout.",couple
2018/11,5,Great visit with Friends,"“We went to the museum on a Friday. We obtained passes from our local library. But, the cost for the museum is small and worth it. Parking is available in lots near the museum. You receive a 50% discount for parking. Just get the ticket validated at the entrance to the museum. The museum is on several floors in two buildings. The staff are friendly and helpful in describing the exhibits. The museum has everything to see from modern art, furniture, students work to the old masters. It is a collection of private art and the art of the students in the design school. A place to store coats, bags and several clean restrooms. A nice cafe to purchase food and enjoy a hot or cold drink. Sereval nice restaurants near the museum. There is alos a river walk to enjoy on a nice day. Right in downtown Providence, just off the highway.”
",Couple 
2019/06,4,Lovely small museum,"Interesting museum that is small but not as small as it first appears, and has a range of different collections. Although I have never had to pay for admission I would be happy to shell out $10 or so.",Solo
2018/10,3,Free on Sundays,"The museum is free on Sundays. Not sure I would have considered it worth the money had we had to pay, to be honest. It has a nice collection of design pieces, but the curation is somewhere between awful and haphazard. The layout of the exhibits is confusing. We spent less than two hours.",couple
2018/10,5,definitely worth a visit,"A lovely museum with a large and eclectic collection, including clothing, furniture, jewelry, paintings and sculpture -- spanning the ancient Greeks to today. We saw a fascinating special exhibit on the meaning of liberty and imprisonment and much of their permanent collection. On Sundays, there is no admission.",Friends
2018/10,4,Great way to spend an afternoon.,This museum is a great place to visit. It has something for everyone. There is parking on the road. Admission is very reasonable and free on Sundays. It is located on the east side of Providence where there are plenty of other interesting things to do in see as well.,Family
2018/10,4,Hidden Gem,What an amazing museum. I had no idea how big or how comprehensive this museum was. I loved the section that focused on RISD student submissions.,couple
2018/10,5,A gem of a museum,"We went on a Sunday, which is free admission. The exhibits are beautifully presented and feature quite a few big names in modern art, some of which had a political dimension that may upset some people (which made them all the more interesting). We didn't try the café but it was full of people and looked good.",Couple
2018/10,5,Wonderful museum,This museum is a great way to spend 2 to 3 hours. A wonderful assortment of treasures in a truly beautiful setting. We loved discovering the unique treasures. Definitely worth your time.,Family
2018/09,4,Wonderful art work by designers,"“Every designer aspirant or otherwise must visit this place and see the wonderful art pieces designed by the students of RISD.

One of the world's renowned and most popular design school and it's prestigious to graduate from this school.”
",Solo
2018/09,5,Artist visiting art,"“I have enjoyed to be there and seeing amazing art

This is so far the best I have seen

It’s very reasonable priced”
",
2018/05,5,More than you expect!,"I have had the pleasure of visiting the RISD Museum twice, and continue to be amazed by the diversity of the art and the wonderful manner in which the works are presented. What's even better, is the fact that all of this is right nearby (for me) in Providence. If RISD is not close for you, don't let that stop you from visiting this worthwhile attraction.",Friends
2018/09,5,Stop in for a cultural treat,"RISD museum has an eclectic collection of art and design pieces. Paintings, sculpture, jewelry, textiles, furniture, and a giant wooden Buddha. There's always something new to discover, and admission is free on Sundays!",
2018/09,5,Fantastic selection of art and artefacts.,Really enjoyed our visit to this very interesting museum. Wonderful selection of exhibits. Friendly and helpful staff. Cafe on site.,
2018/09,5,#1 attraction in Providence,"This was definitely the highlight of my trip to Providence. From Egyptian and Asian artefacts to modern art, from American colonial furniture to European paintings, the RISD museum has it all. Don't miss it, and allow at least 3 hours to see the whole collection.",Solo
2018/09,4,Good assortment of genres,"The Asian and Egyptian art collections offered an excellent sampling of the cultures. The difference in the Chinese, Japanese and Tibetan Buddhas was informative.",couple
2018/08,5,"We spend one hour in this fantastic museum, and only saw very little of it. It was much larger than expected.","Lots of different art, from different time periods, well organized, fun building, good price. We were looking for something to do in Providence and be inside on a hot day, this really fit the bill",Couple
2018/09,5,Not to be missed on any visit to RI,"This is great little museum, that features a lot of works from current and past teaching staff and current and past students. Its also features art from the ""masters"", Picasso, Manet, etc. just to name a few. Asian art, Ancient art, contemporary art, sculpture, you name the medium and it is represented here. They have a great little cafe run by Bolt Coffee, that offers great drinks lunch and breakfast. Sundays are free!",couple
2018/08,5,Amazing,"Don’t miss this, full of interesting paintings and exhibits. I was really surprised at how big it was. staff so friendly and informed and approachable. I’ve been to Providence before and didn’t do this museum but don’t miss it, it’s fab.",Family
2018/07,5,Interesting,"We only had about 1/2 a day to visit this museum. I really liked the Rockefeller Asian Art collection and the Charles Pendleton House. All the exhibits were interesting. Those were my favorite. We ended up spending more time than we expected. It's right by the Atheneum, so we ran by there when we were finished.",Friends
2018/08,5,An amazing collection,"Stopped by the museum while in Providence for business and more than pleasantly surprised. Not only do they have an extensive collection that has artists that the general population will recognize, but the space is beautiful. The many gallery spaces are varied and each has its own feel. From the skylights in the European wing to the Pendleton house. Every corner you turn is a new adventure!",Solo
